symbol,close,date
GS,124.5,2012-10-15
GS,123.220001,2012-10-16
GS,124.91999799999999,2012-10-17
GS,125.150002,2012-10-18
GS,123.620003,2012-10-19
GS,122.769997,2012-10-22
GS,119.0,2012-10-23
GS,119.769997,2012-10-24
GS,119.720001,2012-10-25
GS,119.440002,2012-10-26
GS,122.389999,2012-10-31
GS,124.849998,2012-11-01
GS,123.25,2012-11-02
GS,124.08000200000001,2012-11-05
GS,126.25,2012-11-06
GS,117.980003,2012-11-07
GS,115.269997,2012-11-08
GS,116.150002,2012-11-09
GS,117.239998,2012-11-12
GS,116.470001,2012-11-13
GS,114.239998,2012-11-14
GS,115.440002,2012-11-15
GS,115.839996,2012-11-16
GS,118.300003,2012-11-19
GS,118.089996,2012-11-20
GS,117.699997,2012-11-21
GS,120.309998,2012-11-23
GS,120.940002,2012-11-26
GS,118.410004,2012-11-27
GS,119.33000200000001,2012-11-28
GS,118.730003,2012-11-29
GS,117.790001,2012-11-30
GS,118.400002,2012-12-03
GS,116.58000200000001,2012-12-04
GS,117.129997,2012-12-05
GS,117.199997,2012-12-06
GS,116.57,2012-12-07
GS,117.010002,2012-12-10
GS,118.860001,2012-12-11
GS,118.089996,2012-12-12
GS,118.5,2012-12-13
GS,119.360001,2012-12-14
GS,123.489998,2012-12-17
GS,127.769997,2012-12-18
GS,127.25,2012-12-19
GS,129.720001,2012-12-20
GS,128.440002,2012-12-21
GS,127.540001,2012-12-24
GS,127.160004,2012-12-26
GS,126.66999799999999,2012-12-27
GS,125.519997,2012-12-28
GS,127.559998,2012-12-31
GS,131.66000400000001,2013-01-02
GS,130.940002,2013-01-03
GS,134.509995,2013-01-04
GS,134.259995,2013-01-07
GS,133.050003,2013-01-08
GS,134.320007,2013-01-09
GS,137.369995,2013-01-10
GS,137.130005,2013-01-11
GS,136.130005,2013-01-14
GS,135.58999599999999,2013-01-15
GS,141.08999599999999,2013-01-16
GS,141.009995,2013-01-17
GS,144.449997,2013-01-18
GS,145.949997,2013-01-22
GS,145.559998,2013-01-23
GS,144.96000700000002,2013-01-24
GS,144.46000700000002,2013-01-25
GS,144.149994,2013-01-28
GS,147.100006,2013-01-29
GS,147.149994,2013-01-30
GS,147.860001,2013-01-31
GS,149.899994,2013-02-01
GS,147.520004,2013-02-04
GS,150.449997,2013-02-05
GS,151.119995,2013-02-06
GS,150.259995,2013-02-07
GS,151.600006,2013-02-08
GS,152.240005,2013-02-11
GS,154.110001,2013-02-12
GS,154.520004,2013-02-13
GS,155.929993,2013-02-14
GS,154.990005,2013-02-15
GS,158.649994,2013-02-19
GS,155.179993,2013-02-20
GS,150.880005,2013-02-21
GS,154.08999599999999,2013-02-22
GS,147.649994,2013-02-25
GS,148.0,2013-02-26
GS,151.649994,2013-02-27
GS,149.759995,2013-02-28
GS,150.529999,2013-03-01
GS,152.179993,2013-03-04
GS,152.96000700000002,2013-03-05
GS,154.130005,2013-03-06
GS,156.619995,2013-03-07
GS,152.979996,2013-03-08
GS,153.300003,2013-03-11
GS,151.850006,2013-03-12
GS,151.91000400000001,2013-03-13
GS,154.020004,2013-03-14
GS,154.83999599999999,2013-03-15
GS,151.949997,2013-03-18
GS,148.83999599999999,2013-03-19
GS,150.130005,2013-03-20
GS,145.380005,2013-03-21
GS,146.600006,2013-03-22
GS,146.110001,2013-03-25
GS,146.53999299999998,2013-03-26
GS,147.83999599999999,2013-03-27
GS,147.149994,2013-03-28
GS,146.03999299999998,2013-04-01
GS,146.679993,2013-04-02
GS,143.41000400000001,2013-04-03
GS,142.990005,2013-04-04
GS,143.690002,2013-04-05
GS,143.820007,2013-04-08
GS,146.520004,2013-04-09
GS,149.46000700000002,2013-04-10
GS,149.070007,2013-04-11
GS,149.119995,2013-04-12
GS,146.46000700000002,2013-04-15
GS,144.100006,2013-04-16
GS,140.600006,2013-04-17
GS,138.600006,2013-04-18
GS,138.720001,2013-04-19
GS,139.520004,2013-04-22
GS,142.940002,2013-04-23
GS,143.929993,2013-04-24
GS,144.759995,2013-04-25
GS,144.110001,2013-04-26
GS,145.110001,2013-04-29
GS,146.070007,2013-04-30
GS,142.610001,2013-05-01
GS,143.669998,2013-05-02
GS,145.369995,2013-05-03
GS,148.449997,2013-05-06
GS,149.320007,2013-05-07
GS,150.259995,2013-05-08
GS,148.53999299999998,2013-05-09
GS,149.100006,2013-05-10
GS,149.630005,2013-05-13
GS,154.520004,2013-05-14
GS,155.610001,2013-05-15
GS,154.470001,2013-05-16
GS,158.179993,2013-05-17
GS,158.899994,2013-05-20
GS,160.729996,2013-05-21
